<?xml version="1.0" encoding="utf-8"?>
<!-- Level表示一个关卡 ， table表示一个敌人， 敌人属性分别是：哪一波 、种类、生命值、 等待出现间隔（秒)、 掉多少钱、 移动速度、特殊物品掉落几率（0.1表示十分之一概率以下都是这种形式）掉落物品的编号 给玩家造成的伤害 体型比例默认是1倍
 -->
<!-- 每个塔都是100点生命值， 敌人走过其旁边就会造成伤害  -->
<!-- 敌人类型解释分别是: A-少尉 B-大校 C-中将 D-元帅 E-轻型坦克 F-重装坦克 G-F16大黄蜂 H-F22猛禽 -->
<!-- level标签属性initialMoney表示这关初始金钱  maxTowerIndex表示最大出现的塔的编号，也就是如果这关现在是3，那么将会出现编号 0 1 2 3共4种塔在UI界面上可以选择 即T1 T2 F1 T3的顺序 -->
<!--  dropProp属性 0-6 为某个道具的编号 -->
<!--  TowerConfig标签种的属性分别表示加点页面每点加多少暴击 、攻击倍率 、减cd 、 塔子弹减速率 、塔的侦察敌人的范围大小 、塔的子弹的速度  -->
<!-- tower标签种的属性表示每种塔的初始伤害值 、 塔子弹飞行速度 、塔子弹暴击率、 塔的侦察敌人的范围 、发射的cd、  塔子弹的伤害倍率 、塔子弹的减速度概率  -->
<!-- tower标签从上到下分别代表了 T1 T2 F1 T3 F2  T4 F3   -->
<ROOT>
    <level initialMoney="8000" maxTowerIndex="2">
        <table wave="1" enemyType="A" hp="10000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="0" demage="1" shapeFactor="1.35"/>
        <table wave="1" enemyType="A" hp="10000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="0" demage="1" shapeFactor="1.35"/>
        <table wave="1" enemyType="A" hp="10000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="0" demage="1" shapeFactor="1.35"/>
        <table wave="1" enemyType="A" hp="10000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="0" demage="1" shapeFactor="1.35"/>
        <table wave="1" enemyType="A" hp="10000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="1" demage="1" shapeFactor="1.35"/>
        <table wave="1" enemyType="A" hp="10000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="2" demage="1" shapeFactor="1.35"/>
        <table wave="2" enemyType="B" hp="12000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="3" demage="1" shapeFactor="1.35"/>
        <table wave="2" enemyType="B" hp="12000" wait="0.35" loseMoney="250" moveSpeed="0.41" dropRate="0.008" dropProp="0" demage="1" shapeFactor="1.35"/>
